,url,title,description,price,brand
0,https://www.factorybuys.com.au/products/euro-top-mattress-king,Factory Buys 32cm Euro Top Mattress - King,"Pamper yourself with Factory Buys Euro Top Mattress that will give you a soothing sleep night after night.Incorporating the cutting-edge technology, the lavish construction addresses all elements that will offer you a comfortable and luxurious experience - Euro top padding with high-density foam and an independent coil",466.2,Factory Buys
1,https://dunlin.com.au/products/beadlight-cirrus,Beadlight Cirrus LED Reading Light,"Handmade by Beadlight in the UK, the Cirrus collection was originally designed for use in private jet aircraft, and first and business class cabins. The range has proved incredibly successful in hotels, private residences and mega yachts. Built to the exacting standards demanded by the aeropsace industry, each Beadlight reading light is made by hand and wrapped in English leather with hand stitching.   
- Ideal as a bedhead light, the luxurious fitting provides two brightness settings for reading. 
- Can be mounted to existing walls and bed heads.
- Simple installation is required by an electrician.
- Energy Efficient. These LED lights become the perfect solution to make substantial energy savings.
- The wall lights use 1.4 watts of energy and require a 12v transformer, not included.
- Previously available only to architects and interior designers, the Beadlight collection is now available to the public exclusively through Dunlin.

Overall Length from wall 45cm
Technical PDF

Lead Time
Made to Order. 8-12 weeks for delivery.",1758.0,Beadlight
2,https://themodern.net.au/products/hamar-plant-stand-ash,Hamar Plant Stand - Ash,"The Hamar Plant Stand is a wonderful accessory that holds at least three pot plants or other objects such as vases, sculptural objects or lamps. Use it to fill a corner or that tricky spot, bring height and greenery to your room.  
Dimensions: 65cm at widest point x 60cm (D) x 92cm (H)Each platform has 28cm (W) x 28cm (D) of useable space.
Materials: Solid Ash, Clear Lacquer",412.0,The Modern
3,https://vastinterior.com.au/products/samson-daybed-single-2,Samson Daybed Single,"
Note: This is a frame only. Does not come with mattress or cover. Mattress and cover can be purchased separately. 
A Vast Icon, the Samson Daybed is a simple design, beautifully executed. 
Crafted from solid mango hardwood, and hand finished with 4 coats of hard wearing NC lacquer, this daybed is designed to last for decades. While we sell many of these for inside use, it is also perfectly suited for a covered veranda.",899.0,Samson
4,https://www.hudsonfurniture.com.au/products/string-weave-timber-stool,String weave timber stool,"Our Hudson String weave stool is made from native Sungkai wood. With its tapered legs, light colour and attractive grain, this handsome piece will set off your kitchen bench with style. The super comfy but lightweight weave for the seat, is a natural alternative to standard upholstery.
Dimensions &amp; Need to Know: 
Width 40cm Depth 37cm Height 66cm.

All designs are hand carved by our craftsmen from sustainably grown Timbers.
Super fine sanded, and finished with wax.
",495.0,Hudson Furniture
5,https://www.perchfurniture.com/products/hoyt-chair,Hoyt Chair,"Designed with simplicity in mind, the Hoyt Chair is anything but basic. Keep conversations flowing by placing a pair of these chairs in a room. The square silhouette and smart lines look even better when two chairs sit together. Plush cushions, and padded bolsters (which are stitched in place to keep the arms looking crisp and comfortable) make this chair the perfect place to chat or just relax.
Specifications

We worry about the details of your furniture so you don't have to.

Frame: Kiln-dried hardwood frame (never particle board or pine).
Joints: Corner-blocked, high-pressure stapled, and glued (screwed and doweled frames also available).
Suspension: Unidirectional webbing (interwoven strips of nylon webbing that create a very stable platform for cushions).
Cushions: Medium HR polyurethane foam. No flame retardants.
Glue: Low-VOC
38"" L x 36"" D x 34"" H
Makes a great swivel chair. Call or email for details.


Don't see the right color? We have 100s of fabrics and leathers available at the Perch shop, including that perfect grey.",1300.0,Perch Furniture
6,https://claytongrayhome.com/products/palecek-coco-ruffle-mirror,Coco Ruffle Mirror,"Palecek presents the Coco Ruffle Mirror made of a beveled mirror with a ruffle shaped metal frame embellished with coco wood and beads is finished in a natural finish.
*Please note that many Palecek items are made to order and require additional construction time. The specific production time will be confirmed after you place your order. Inquire below for current availability.",2119.0,Palecek
7,https://www.furnitureworldgalleries.com/products/,Togel Online ⚡️ Bandar Togel Online Dan Situs Togel Online Hadiah Fantastis,"Togel Online adalah bandar togel online terkemuka yang menawarkan pengalaman serunya dunia Togel Online di bandar togel terpercaya yang menghadirkan hadiah fantastis untuk para pemainnya! Dengan pilihan pasaran terlengkap, fitur live draw real-time, dan peluang menang yang luar biasa, kami menjadi pilihan utama penggemar togel di seluruh Indonesia.",678.0,OLXTOTO
8,https://www.cranmorehome.com.au/products/gift-card,GIFT CARD,"<p>Searching for something special but you can't quite make up your mind?</p>
<p>Give the gift of choice with a Cranmore Home &amp; Co. Gift Card. </p>
<p>All gift cards are valid for three years from purchase.</p>
<p>If you would like a different amount, please contact us and we can arrange this for you.</p>
<p>Our gift cards are provided as electronic gift cards, if you would like one mailed to you please let us know.</p>
<p><strong>Please note that the email address you enter whilst ordering is the email we will use for confirmation of the order and invoice.  For us to send the gift card directly to your recipient with a personal note, please add the email address and personal note at check out in the ""note for order"" section.  </strong></p>
<p>Any questions please <strong><a href=""https://www.cranmorehome.com.au/pages/contact-cranmore-home"">contact us</a></strong>.</p>",25.00,Cranmore Home &amp; Co.
9,https://asplundstore.se/products/fish-bricka,Fish bricka vit,Fish bricka med det ikoniska mönstret med samma namn som är ritat av Thomas Sandell exklusivt för ASPLUND 2010. En perfekt present till någon som önskar sig klassiska och användbara saker. Finns i två storlekar.  Small: 20 x 27 cmLarge: 33 x 43 cmThomas Sandell har ritat möbler och andra produkter för ASPLUND sedan...,275,ASPLUND Store
